0.03125 0.000
0.09375 0.000
0.15625 0.000
0.21875 0.000
0.28125 0.000
0.34375 0.000
0.40625 0.000
0.46875 0.000
0.53125 0.000
0.59375 0.000
0.65625 0.000
0.71875 0.000
0.78125 0.000
0.84375 0.000
0.90625 0.000
0.96875 0.000
1.03125 0.000
1.09375 0.000
1.15625 0.000
1.21875 0.000
1.28125 0.000
1.34375 0.000
1.40625 0.000
1.46875 0.000
1.53125 0.000
1.59375 0.000
1.65625 0.000
1.71875 0.000
1.78125 0.000
1.84375 0.000
1.90625 0.029
1.96875 0.498
2.03125 1.712
2.09375 1.897
2.15625 1.533
2.21875 1.283
2.28125 2.086
2.34375 2.408
2.40625 2.035
2.46875 1.514
2.53125 1.024
2.59375 0.669
2.65625 0.496
2.71875 0.460
2.78125 0.533
2.84375 0.593
2.90625 0.644
2.96875 0.747
3.03125 0.840
3.09375 0.938
3.15625 1.033
3.21875 1.098
3.28125 1.197
3.34375 1.275
3.40625 1.295
3.46875 1.331
3.53125 1.307
3.59375 1.258
3.65625 1.213
3.71875 1.129
3.78125 1.064
3.84375 0.996
3.90625 0.937
3.96875 0.896
4.03125 0.877
4.09375 0.878
4.15625 0.898
4.21875 0.914
4.28125 0.908
4.34375 0.904
4.40625 0.912
4.46875 0.928
4.53125 0.916
4.59375 0.924
4.65625 0.936
4.71875 0.948
4.78125 0.974
4.84375 0.987
4.90625 0.989
4.96875 0.975
5.03125 0.962
5.09375 0.936
5.15625 0.934
5.21875 0.915
5.28125 0.919
5.34375 0.918
5.40625 0.930
5.46875 0.938
5.53125 0.946
5.59375 0.960
5.65625 0.970
5.71875 0.981
5.78125 0.996
5.84375 1.010
5.90625 1.016
5.96875 1.023
6.03125 1.039
6.09375 1.046
6.15625 1.063
6.21875 1.063
6.28125 1.058
6.34375 1.067
6.40625 1.045
6.46875 1.042
6.53125 1.034
6.59375 1.030
6.65625 1.034
6.71875 1.018
6.78125 1.007
6.84375 0.995
6.90625 0.998
6.96875 0.992
7.03125 0.986
7.09375 0.980
7.15625 0.976
7.21875 0.982
7.28125 0.987
7.34375 0.975
7.40625 0.992
7.46875 0.992
7.53125 1.003
7.59375 1.003
7.65625 1.006
7.71875 0.996
7.78125 0.997
7.84375 1.005
7.90625 1.009
7.96875 1.005
8.03125 0.997
8.09375 0.990
8.15625 0.986
8.21875 0.989
8.28125 0.989
8.34375 0.987
8.40625 0.986
8.46875 0.986
8.53125 0.989
8.59375 0.983
8.65625 0.988
8.71875 0.991
8.78125 0.995
8.84375 1.001
8.90625 1.012
8.96875 1.020
9.03125 1.015
9.09375 1.019
9.15625 1.021
9.21875 1.031
9.28125 1.037
9.34375 1.036
9.40625 1.027
9.46875 1.029
9.53125 1.018
9.59375 1.016
9.65625 1.010
9.71875 1.006
9.78125 0.999
9.84375 0.997
9.90625 0.999
9.96875 0.988
10.0312 0.991
10.0937 0.984
10.1562 0.979
10.2188 0.981
10.2812 0.980
10.3438 0.983
10.4062 0.986
10.4688 0.985
10.5312 0.978
10.5938 0.972
10.6562 0.975
10.7188 0.974
10.7813 0.969
10.8438 0.973
10.9062 0.978
10.9688 0.976
11.0312 0.981
11.0938 0.987
11.1562 0.996
11.2188 0.989
11.2812 0.984
11.3438 0.984
11.4062 0.984
11.4688 0.987
11.5312 0.988
11.5938 0.980
11.6562 0.980
11.7187 0.988
11.7812 0.991
11.8438 0.991
11.9062 0.996
11.9688 1.007
12.0312 0.997
12.0938 1.002
12.1562 0.996
12.2188 0.995
12.2812 1.000
12.3438 1.002
12.4062 1.000
12.4688 0.999
12.5312 0.999
12.5938 0.990
12.6562 0.992
12.7188 0.994
12.7812 0.992
12.8438 0.997
12.9062 1.005
12.9688 1.005
13.0312 1.009
13.0938 1.010
13.1562 1.007
13.2188 1.005
13.2812 1.001
13.3437 1.001
13.4062 0.999
13.4688 0.998
13.5312 0.990
13.5938 0.988
13.6562 0.984
13.7188 0.986
13.7813 0.987
13.8438 0.985
13.9062 0.992
13.9688 0.989
14.0312 0.994
14.0938 0.998
14.1562 0.997
14.2188 0.999
14.2812 1.000
14.3438 0.995
14.4062 0.997
14.4688 0.996
14.5312 0.993
14.5938 0.995
14.6562 0.999
14.7188 1.001
14.7812 1.000
14.8438 1.001
14.9062 1.003
14.9687 1.003
15.0312 1.009
15.0938 1.003
15.1562 1.004
15.2188 1.004
15.2812 1.003
15.3438 1.001
15.4063 0.999
15.4688 0.996
15.5312 0.999
15.5938 0.998
15.6562 1.002
15.7188 0.999
15.7812 0.997
15.8438 0.998
15.9062 0.999
15.9688 1.001
